artifact_name,countr_of_origin,acquisition_date,created_date,description,continent
Outboard motor,Canada,2010,1958,"Metal red/burgundy and white casing; metal propeller, dials and hardware; rubber? grip on steering handle and tip of propeller and rubber? gasoline hose with metal three prong connectors to attach to fuel tank gasoling hose.",NA
Container,Canada,2010,1958,"Metal container, handle and hardware; metal screw cap and chain to keep cap attached to gasoling tank; rubber? fuel line[hose].",NA
Container,Canada,2010,1958,"Metal container, handle and hardware and metal screw cap and chain to keep the cap attached to gasoline tank.",NA
Hose,Canada,2010,1958,A hard rubber? black hose with a metal three hole connector at one end with a metal clip that sits at the top of the connector which attaches to the outboard motor hose.,NA
Hose,Canada,2010,1958,A hard rubber? black hose with a metal three hole connector at one end with a metal clip that sits at the top of the connector which attaches to the outboard motor hose.,NA
Jar,Canada,2010,2000,A clear synthetic jar.,NA
Jar,Canada,2010,2000,A clear synthetic jar.,NA
Lid,Canada,2010,2000,"A white synthetic lid, with a metal meshed screen.",NA
Ring,Canada,2010,2000,Synthetic ring.,NA
Ring,Canada,2010,2000,Synthetic ring.,NA
Sign,Canada,2010,1930,"Wooden sign painted off-white, with black and red stencilled paint text; rusted iron [?] nails present.",NA
Breathing apparatus,Federal Republic of Germany,2010,1989,"Moulded black synthetic, and bright and dull finish silver metal casing; red synthetic latch closure; round clear synthetic view window.",EU
"Box, shipping",Federal Republic of Germany,2010,1989,Unbleached cardboard box has white adhesive-backed paper labels.,EU
Breathing apparatus,Federal Republic of Germany,2010,1991,Silver metal [alloy ?] cover; red synthetic reflectors.,EU
Breathing apparatus,Federal Republic of Germany,2010,1991,"Silver metal frame and components; metal gas cylinder painted green; red and black rubber fittings [hoses, seals, etc.]; rigid amber synthetic covering on metal mesh line; black rubber and green woven fabric harness has silver and blue metal fittings; pink-brown [rubber ?] bladder visible within metal casing.",EU
Hose,Federal Republic of Germany,2010,1991,"Black rubber hoses; silver metal fittings, including saliva trap; black moulded synthetic connector covers; drab green woven fabric band.; drab green and grey moulded synthetic fittings.",EU
"Mask, oxygen",Federal Republic of Germany,2010,1991,"Flexible black rubber (?) face mask and harness; clear plastic visor; silver metal visor frame, speech diaphragm and fittings; buff-colour leather covering on wiper; dark green rigid synthetic housing for hose connection has metal core.",EU
"Bag, storage",Federal Republic of Germany,2010,1991,Blue heavy-gauge synthetic [polypropylene ?] bag.,EU
Strap,Federal Republic of Germany,2010,1991,Black rubber (?) strap; rigid black synthetic buckles.,EU
"Case, storage-carrying",Canada,2010,1991,Black wood and silver metal case body has silver metal reinforced edges and hardware; leather and black synthetic hand grip on handle.,NA
"Charger,"" battery & battery",United States of America,2010,2005,Grey metal casing is open on top and bottom.; black synthetic (?) and clear (?) glass meter housing has white face; black moulded synthetic switch; all internal components appear to be metal and/or synthetic.,NA
"Rack, battery charger",United States of America,2010,2005,"Silver metal frame; black wood (?) or bakelite (?) fittings; fitted with 60 identical meters, each having clear synthetic cover over white metal (?) meter face; black rubber (?) covering on electrical wires.",NA
"Lamp, electric",United States of America,2010,2005,Lamp has black moulded synthetic casing; red synthetic rim around lamp face; clear glass [?] lamp window; glass & silver metal lamp bulb; silver metal clip; black synthetic covering on cord; silver metal cover on red synthetic battery casing; casing fitted with clear synthetic windows.,NA
"Lamp, electric",United States of America,2010,2005,Lamp has black moulded synthetic casing; red synthetic rim around lamp face; clear glass [?] lamp window; glass & silver metal lamp bulb; silver metal clip; black synthetic covering on cord; silver metal cover on red synthetic battery casing; casing fitted with clear synthetic windows.,NA
"Lamp, electric",United States of America,2010,2005,Lamp has black moulded synthetic casing; red synthetic rim around lamp face; clear glass [?] lamp window; glass & silver metal lamp bulb; silver metal clip; black synthetic covering on cord; silver metal cover on red synthetic battery casing; casing fitted with clear synthetic windows.,NA
"Lamp, electric",United States of America,2010,2005,Lamp has black moulded synthetic casing; red synthetic rim around lamp face; clear glass [?] lamp window; glass & silver metal lamp bulb; silver metal clip; black synthetic covering on cord; silver metal cover on red synthetic battery casing; casing fitted with clear synthetic windows.,NA
Detonator,United States of America,2010,1930,Grey and black metal casing; silver metal caps on lead connectors; red (rubber? bakelite?) seal under connector posts; brown leather carrying strap.,NA
"Key, winding",United States of America,2010,1930,Silver metal key has black painted wood handle.,NA
"Drill, hydraulic",South Africa,2010,1976,"Silver and brass (?) metal drill has selected black rubber fittings, including yellow (rubberized ?) hose.",AF
Drill leg,South Africa,2010,1976,"Silver and brass (?) metal drill has selected black rubber fittings, including yellow (rubberized ?) hose.",AF
Pin,South Africa,2010,1976,Silver metal pin has rubber collar on one end.,AF
"Bit, mining drill & rod",South Africa,2010,1976,Dull silver metal [steel ?].,AF
"Drill, pneumatic",Canada,2010,1930,All metal construction: black rubber hand grips are painted yellow.,NA
"Clippers, hair",Canada,2010,1965,"hard plastic body, rubber electrical, metal clipper and screws, clear plastic clipper cover, white plastic lever",NA
"Oil, clipper",United States of America,2010,1965,plastic tube,NA
Comb,Canada,2010,1965,plastic and metal attachement clip possibly brass,NA
Comb,Canada,2010,1965,plastic and metal ( possibly brass),NA
Box,Canada,2010,1965,Carboard box,NA
Mining method model,Canada,2010,2003,Wood and metal materials of construction; some synthetic fittings and coverings on metal electrical cords. Model is predominantly grey and black.,NA
"Car model,"" mine",Canada,2010,2003,"Yellow and black wood and synthetic car """"contains"""" load of black and grey oar.",NA
Camera,Canada,2010,1969,Metal and synthetic construction:camera is predominantly black and grey; clear glass optics; fitted with black woven synthetic fabric hand strap.,NA
"Cartridge, film",Canada,2010,1980,"Bright yellow and black cardstock box has black, red and white text and graphics.",NA
"Insert, box",Canada,2010,1969,Rigid white Styrofoam (?) form.,NA
"Box, camera",Canada,2010,1969,"Bright yellow and black cardstock box has red, white, black and blue graphics and text on exterior; red, white, black,"" orange and blue graphics and text on interior; goldtone metal rivet allows lid to slide up [open] and down [closed].",NA
"Transceiver, data & radiotelephone",United States of America,2010,2008,"Hard black plastic casing, silver metal frame surrounding lens and a glass lens.",NA
Cable,United States of America,2010,2008,"rubber cord, white plastic end pieces and metal plugs.",NA
Converter,United States of America,2010,2008,"plastic, metal",NA
"Bag, fruit picking",Canada,2010,1950,"Canvas bag, metal buckles and metal container that holds the apple picking bag with two pieces of rope on each side of the bottom of the bag to close the bag when picking apples.",NA
Basket,Canada,2010,1890,"Wooden slats, wooden handle and rim with a metal hook attached to the handle.",NA
Barrel,Canada,2010,1930,Unfinished wood.,NA
Ladder,Canada,2010,1960,Yellow painted wood and metal hardware.,NA
